ageClass,sex,nationality,treatment,unique_id
40,M,ITA,Control,5d77d8c89764cf86454c70e0ee666d12342f48c6
30,M,ESP,Control,e7fe03b01687f1a6377ffd45167762c3a36d02e8
20,M,ESP,Treatment,056028e7445de58902940769b113e7bdba4e57a1
30,M,DNK,Control,37e34ffa979ac0965c5a669de7d495b3ff9bf58c
35,M,NLD,Treatment,f45a70aa21c97bb366aecaf458ac832d97c16728
40,M,DEU,Treatment,4a8b8e579f264b0376f943406cdab7b0541a1f48
45,M,AUT,Control,ff9a01551920449d2da2514020bd64e3effe50c7
40,M,DEU,Control,b149f2aba3302068420f00d8b389cbf8f855cde3
20,M,DNK,Control,a60c1a7fe463a7144fb7e746ef9971ce02dc052b
35,M,DEU,Control,cd15ee54a74bc4951b1460140b216340e5fe22aa
30,M,GBR,Treatment,fa308e0c5b8f386f3562d797ce021cff8033db2d
40,M,AUT,Control,c5ae6eddb9e395a50ef07f829d36c1a1c9c1aade
30,M,ESP,Treatment,a595f1553fc041a5a69eeca46165ad6810dbadd5
20,M,DEU,Control,06984c615e4ce768bdc1f609b62f15124d2b8ff2
50,M,DEU,Control,cd5cd76a7cf8fa8dc5eb10b86c162252be31aaf0
20,M,AUS,Control,08b9edec01fdd5bad9367ed6111f910741ff7ded
40,M,RUS,Treatment,81ab5645a8a60c756a6eb4ebdab5f31c3a8fe04f
40,M,DEU,Control,7f60417bb4b8725576b9124813f9b00d4074cba5
45,M,DEU,Treatment,b8f3883bd6b4a9ecc15676217ec57eed50befa95
35,M,AUS,Treatment,40e7b9d1db9d934ce63e11da9724053b3bf9ba72
35,M,ESP,Treatment,540791e56aec6b7491d4dc30f0e9e9e6c309b14e
45,M,DEU,Control,ec1fb59ea49dd3ade1add185c47355310d891867
30,M,CAN,Control,6719550e73197d9eb8880408bf169da2de5e5672
35,M,DNK,Control,9c802d7d5db4ded5df6510814af0301f5b7fdcfd
35,M,DNK,Treatment,90cecbbae93a82c2f241186a875540ecec8617be
45,M,FRA,Control,9a0417b3fc20bc4247991152bab0fdcb554e1ee1
