netTime,clockTime,unique_id
9209,9212,ec5ba35a35be6c055d4c65c59c2ead85ad72cc9d
9209,9212,0c179dc8d873843d1e4113d8902ed94a866ab855
9213,9222,66d54d6c134f16f05ad88872e8c5f2ae5469c8fb
8805,8808,401a21528fd4ee9b0dcdc63bc3c9e23872facf98
9542,9543,430b3be077b9eda5031352b579565f8cecf1b499
9228,9228,4c8cdc0a7e2087803eb734732bceb150424316ab
9836,9841,e1e2cf0d7978b7e7eb3759c65fd6b4eb7e2680c8
9242,9250,abebbf7f265fdc672acc1ce1baef278aff0ca3a1
11100,11105,ac2e95db1d8ae15dd93833fc8564cb813b2e29e8
12192,12192,2b0796b7a82452b01ec10dc207a05fa73c25a361
9263,9271,46375d744d291ef409ba6b24ddf2dd5384de27db
9270,9275,838ddab43c0bfe1851b2ef67134e72a6a0f4aac7
9134,9137,39001e0a89a0bb9dc980aaea7438227f4933c1de
9281,9285,2be1e326fdf8e63698083af2c6e307d7d91f4199
8331,8335,975530a2c4bee6ebff302015a2297a233207d9a8
9294,9294,08755aa37dda4cf37e5ff14c9bad017d9bdee7c8
9894,9899,51586a79f49f6e00b47f41a806fc9ff25e7d760f
7803,7807,2faa77e986dfd767d3dd704526b542589a862812
9315,9320,6542b589773fdc3dc576026c6a6ff342514559f7
9315,9322,a8ebcfe774882dbe7c4f54038994b7156780ebee
9316,9325,c4e7bbe730c8560c867dd98625cb1a71cf34220c
9323,9326,4e5f9631d2336c2335ec86a391b5ff94482baa99
9326,9333,6888c496431014603316435946da6061aa853a06
9329,9332,b11c94ced7614eb4e92882e4260dfc82d7266f23
9331,9332,259bb08813eb8b4b35dee93016989ed9ea8105fa
10803,10811,93f67fd61341d272ecffa8bd4d821de1d31b4bd0
10380,10387,c3c1b663e7f4e46e98381efd8acb260435e56068
9332,9332,6b52d0dc0e979cbcf35e7b1a9a802b3156b51800
6918,6918,9bbc1f387889c1f94000f6f354d98d513c049987
10450,10455,87eb6e65733a1bba61fe3357abd1175a0763b75c
9341,9351,726d06ba1cf9ba866b57be0ffdf2bf0eecce2d43
10362,10373,1c0541dd03fc8f5fd73233c03205408f44d636ad
9345,9348,3a450dda7311082ef2d211d50e4faa9d0880b5f9
9597,9601,1be9f5e57dafc503d813da25a5cb53cc498245b4
9351,9360,1fac4d82d6b17306f4408a7f60a6d7bda6a33881
11113,11119,8edae9a3f500bd88714bc444276e65eda50c2b2a
9353,9358,3179b7f6d2860c5202c5a1290594596c8a29fd85
9367,9374,8c0e1ed2c5dd074c9290a8a1fdac3952fcf35392
9375,9386,10e27a3f150033ebb81c634720cca53753b7a407
8831,8836,82b16150e5e925b66fac21573ae506738f8b31f6
9389,9392,d3454d5e3df34b183f592a58f2605bb547f2f20a
9396,9409,a3402484a617aa9e00d1f4c6145ed77dea83c788
9390,9404,77f8be06b0329d2cf72618eb88b4507b9e1365da
9406,9417,701605eb090e24430243fc67f3364c0959ffe49e
9409,9414,e964404dc06fe0a5d45b11800c20f4934753fbe3
9409,9413,5d77d8c89764cf86454c70e0ee666d12342f48c6
9414,9417,e7fe03b01687f1a6377ffd45167762c3a36d02e8
9414,9418,056028e7445de58902940769b113e7bdba4e57a1
